Question,Answer
Was Abraham Lincoln the sixteenth President of the United States?,yes
Was Abraham Lincoln the sixteenth President of the United States?,Yes.
Did Lincoln sign the National Banking Act of 1863?,yes
Did Lincoln sign the National Banking Act of 1863?,Yes.
Did his mother die of pneumonia?,no
Did his mother die of pneumonia?,No.
How many long was Lincoln's formal education?,18 months
How many long was Lincoln's formal education?,18 months.
When did Lincoln begin his political career?,1832
When did Lincoln begin his political career?,1832.
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history"
What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history."
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell
Who suggested Lincoln grow a beard?,Grace Bedell.
When did the Gettysburg address argue that America was born?,1776
When did the Gettysburg address argue that America was born?,1776.
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes
Did Lincoln beat John C. Breckinridge in the 1860 election?,Yes.
Was Abraham Lincoln the first President of the United States?,No
Was Abraham Lincoln the first President of the United States?,No
Did Lincoln start his political career in 1832?,Yes
Did Lincoln start his political career in 1832?,Yes
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
Which county was Lincoln born in?,Hardin County
Which county was Lincoln born in?,"Southeast Hardin County, Kentucky"
When did Lincoln first serve as President?,"March 4, 1861"
When did Lincoln first serve as President?,"March 4, 1861"
Who assassinated Lincoln?,John Wilkes Booth
Who assassinated Lincoln?,John Wilkes Booth
Did Lincoln win the election of 1860?,Yes
Did Lincoln win the election of 1860?,Yes
Who was the general in charge at the Battle of Antietam?,General McClellan
Who was the general in charge at the Battle of Antietam?,John Alexander McClernand
Why did Lincoln issue the Emancipation Proclamation?,To free slaves 
Why did Lincoln issue the Emancipation Proclamation?,"The goal was to weaken the rebellion, which was led and controlled by slave owners."
Do scholars rank lincoln among the top three presidents?,Yes
Did lincoln have 18 months of schooling?,Yes
Was Lincoln chosen as a presidential candidate in 1860?,Yes
How old was Lincoln in 1816?,seven
When was the first photgraph of lincoln taken?,1846
How long was Lincoln's legal Career?,23 years
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong"
Did Abraham Lincoln live in the Frontier?,Yes
Did Lincoln's Wife's Family support slavery?,Yes
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah
When did he publish another memoria?,1821
When did he become a professor?,1820
Is it true that he became a professor in 1820?,yes
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes
Did the scientific community not reserve great attention to his theory ?,yes
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes
Can the title of this famous 1811 paper be roughly translated into english?,yes
What happened in 1833?,Avogadro had been recalled to Turin university
What happened in 1833?,blah blah blah
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
What is named after him?,The Celsius crater on the Moon
When did he publish a collection?,1733
Is it true that he published a collection in 1738?,No
Is it true that thermometer had 100 for the freezing point?,Yes
Was Celsius born in Uppsala in Sweden?,Yes
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes
Is The Celsius crater on the Moon named after him?,Yes
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius
The Celsius crater on the Moon is what?,named after him
Is the Celsius crater on the Moon named after him ?,Yes
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had
Was Celsius born in Uppsala in Sweden ?,Yes
Is the Celsius crater on the Moon named after him ?,Yes
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University
What happened in 1745?,The scale was reversed
Are beetles insects?,Yes
Are beetles insects?,Yes
Can beetles be found in polar regions?,No
Can beetles be found in polar regions?,No
Do beetles antennae function primarily as organs of smell?,Yes
Do beetles antennae function primarily as organs of smell?,Yes
What are the three sections of a beetle?,"the head, the thorax, and the abdomen"
What are the three sections of a beetle?,"The head, the thorax, and the abdomen"
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry
Which defense mechanism uses colour or shape to deceive potential enemies?,Mimicry
Which type of beetle is a pest of potato plants?,Colorado potato beetle
Which type of beetle is a pest of potato plants?,Colorado potato beetle
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet."
What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates"
What are the similarities between beetles and grasshoppers?,mouthparts
